Question_ID,Type,Predicted,Correct,Match,Mode
022,Perspective,A,A,1,Normal
222,Perspective,A,A,1,Augmented
026,Perspective,A,B,0,Normal
226,Perspective,A,B,0,Augmented
031,Perspective,A,B,0,Normal
231,Perspective,A,B,0,Augmented
036,Perspective,A,C,0,Normal
236,Perspective,A,C,0,Augmented
041,Perspective,A,B,0,Normal
241,Perspective,A,B,0,Augmented
046,Perspective,A,C,0,Normal
246,Perspective,A,C,0,Augmented
051,Perspective,A,B,0,Normal
251,Perspective,A,B,0,Augmented
056,Perspective,A,A,1,Normal
256,Perspective,A,A,1,Augmented
061,Perspective,A,C,0,Normal
261,Perspective,A,C,0,Augmented
066,Perspective,A,C,0,Normal
266,Perspective,A,C,0,Augmented
071,Perspective,A,B,0,Normal
271,Perspective,A,B,0,Augmented
076,Perspective,A,B,0,Normal
276,Perspective,A,B,0,Augmented
081,Perspective,A,A,1,Normal
281,Perspective,A,A,1,Augmented
086,Perspective,A,B,0,Normal
286,Perspective,A,B,0,Augmented
091,Perspective,A,B,0,Normal
291,Perspective,A,B,0,Augmented
096,Perspective,A,B,0,Normal
296,Perspective,A,B,0,Augmented
101,Perspective,A,A,1,Normal
301,Perspective,A,A,1,Augmented
106,Perspective,A,B,0,Normal
306,Perspective,A,B,0,Augmented
111,Perspective,A,A,1,Normal
311,Perspective,A,A,1,Augmented
116,Perspective,A,B,0,Normal
316,Perspective,A,B,0,Augmented
121,Perspective,A,A,1,Normal
321,Perspective,A,A,1,Augmented
126,Perspective,A,A,1,Normal
326,Perspective,A,A,1,Augmented
131,Perspective,A,B,0,Normal
331,Perspective,A,B,0,Augmented
136,Perspective,A,B,0,Normal
336,Perspective,A,B,0,Augmented
141,Perspective,A,A,1,Normal
341,Perspective,A,A,1,Augmented
146,Perspective,A,A,1,Normal
346,Perspective,A,A,1,Augmented
151,Perspective,A,A,1,Normal
351,Perspective,A,A,1,Augmented
156,Perspective,A,A,1,Normal
356,Perspective,A,A,1,Augmented
