Question_ID,Type,Predicted,Correct,Match,Mode
025,Navigation,A,D,0,Normal
225,Navigation,A,D,0,Augmented
029,Navigation,A,A,1,Normal
229,Navigation,A,A,1,Augmented
035,Navigation,A,D,0,Normal
235,Navigation,A,D,0,Augmented
039,Navigation,A,A,1,Normal
239,Navigation,A,A,1,Augmented
045,Navigation,A,B,0,Normal
245,Navigation,A,B,0,Augmented
049,Navigation,A,B,0,Normal
249,Navigation,A,B,0,Augmented
055,Navigation,A,C,0,Normal
255,Navigation,A,C,0,Augmented
060,Navigation,A,B,0,Normal
260,Navigation,A,B,0,Augmented
064,Navigation,A,B,0,Normal
264,Navigation,A,B,0,Augmented
069,Navigation,A,B,0,Normal
269,Navigation,A,B,0,Augmented
074,Navigation,A,B,0,Normal
274,Navigation,A,B,0,Augmented
079,Navigation,A,A,1,Normal
279,Navigation,A,A,1,Augmented
084,Navigation,A,B,0,Normal
284,Navigation,A,B,0,Augmented
089,Navigation,A,B,0,Normal
289,Navigation,A,B,0,Augmented
094,Navigation,A,A,1,Normal
294,Navigation,A,A,1,Augmented
099,Navigation,A,A,1,Normal
299,Navigation,A,A,1,Augmented
104,Navigation,A,A,1,Normal
304,Navigation,A,A,1,Augmented
109,Navigation,A,B,0,Normal
309,Navigation,A,B,0,Augmented
114,Navigation,A,A,1,Normal
314,Navigation,A,A,1,Augmented
119,Navigation,A,A,1,Normal
319,Navigation,A,A,1,Augmented
124,Navigation,A,A,1,Normal
324,Navigation,A,A,1,Augmented
129,Navigation,A,B,0,Normal
329,Navigation,A,B,0,Augmented
134,Navigation,A,A,1,Normal
334,Navigation,A,A,1,Augmented
139,Navigation,A,A,1,Normal
339,Navigation,A,A,1,Augmented
144,Navigation,A,A,1,Normal
344,Navigation,A,A,1,Augmented
149,Navigation,A,A,1,Normal
349,Navigation,A,A,1,Augmented
154,Navigation,A,B,0,Normal
354,Navigation,A,B,0,Augmented
159,Navigation,A,A,1,Normal
359,Navigation,A,A,1,Augmented
