Question_ID,Type,Predicted,Correct,Match,Mode
024,Proximity,A,A,1,Normal
224,Proximity,A,A,1,Augmented
030,Proximity,A,C,0,Normal
230,Proximity,A,C,0,Augmented
034,Proximity,A,C,0,Normal
234,Proximity,A,C,0,Augmented
040,Proximity,A,B,0,Normal
240,Proximity,A,B,0,Augmented
044,Proximity,A,A,1,Normal
244,Proximity,A,A,1,Augmented
050,Proximity,A,C,0,Normal
250,Proximity,A,C,0,Augmented
054,Proximity,A,D,0,Normal
254,Proximity,A,D,0,Augmented
059,Proximity,A,B,0,Normal
259,Proximity,A,B,0,Augmented
065,Proximity,A,A,1,Normal
265,Proximity,A,A,1,Augmented
070,Proximity,A,D,0,Normal
270,Proximity,A,D,0,Augmented
075,Proximity,A,B,0,Normal
275,Proximity,A,B,0,Augmented
080,Proximity,A,A,1,Normal
280,Proximity,A,A,1,Augmented
085,Proximity,A,C,0,Normal
285,Proximity,A,C,0,Augmented
090,Proximity,A,C,0,Normal
290,Proximity,A,C,0,Augmented
095,Proximity,A,A,1,Normal
295,Proximity,A,A,1,Augmented
100,Proximity,A,A,1,Normal
300,Proximity,A,A,1,Augmented
105,Proximity,A,B,0,Normal
305,Proximity,A,B,0,Augmented
110,Proximity,A,B,0,Normal
310,Proximity,A,B,0,Augmented
115,Proximity,A,C,0,Normal
315,Proximity,A,C,0,Augmented
120,Proximity,A,A,1,Normal
320,Proximity,A,A,1,Augmented
125,Proximity,A,B,0,Normal
325,Proximity,A,B,0,Augmented
130,Proximity,A,A,1,Normal
330,Proximity,A,A,1,Augmented
135,Proximity,A,A,1,Normal
335,Proximity,A,A,1,Augmented
140,Proximity,A,B,0,Normal
340,Proximity,A,B,0,Augmented
145,Proximity,A,A,1,Normal
345,Proximity,A,A,1,Augmented
150,Proximity,A,A,1,Normal
350,Proximity,A,A,1,Augmented
155,Proximity,A,A,1,Normal
355,Proximity,A,A,1,Augmented
160,Proximity,A,A,1,Normal
360,Proximity,A,A,1,Augmented
