Question_ID,Type,Predicted,Correct,Match,Mode
021,Obstacle,A,C,0,Normal
221,Obstacle,A,C,0,Augmented
028,Obstacle,A,B,0,Normal
228,Obstacle,A,B,0,Augmented
033,Obstacle,A,C,0,Normal
233,Obstacle,A,C,0,Augmented
038,Obstacle,A,C,0,Normal
238,Obstacle,A,C,0,Augmented
043,Obstacle,A,A,1,Normal
243,Obstacle,A,A,1,Augmented
048,Obstacle,A,B,0,Normal
248,Obstacle,A,B,0,Augmented
053,Obstacle,A,B,0,Normal
253,Obstacle,A,B,0,Augmented
058,Obstacle,A,B,0,Normal
258,Obstacle,A,B,0,Augmented
063,Obstacle,A,B,0,Normal
263,Obstacle,A,B,0,Augmented
068,Obstacle,A,B,0,Normal
268,Obstacle,A,B,0,Augmented
073,Obstacle,A,D,0,Normal
273,Obstacle,A,D,0,Augmented
078,Obstacle,A,B,0,Normal
278,Obstacle,A,B,0,Augmented
083,Obstacle,A,B,0,Normal
283,Obstacle,A,B,0,Augmented
088,Obstacle,A,B,0,Normal
288,Obstacle,A,B,0,Augmented
093,Obstacle,A,C,0,Normal
293,Obstacle,A,C,0,Augmented
098,Obstacle,A,A,1,Normal
298,Obstacle,A,A,1,Augmented
103,Obstacle,A,A,1,Normal
303,Obstacle,A,A,1,Augmented
108,Obstacle,A,A,1,Normal
308,Obstacle,A,A,1,Augmented
113,Obstacle,A,A,1,Normal
313,Obstacle,A,A,1,Augmented
118,Obstacle,A,C,0,Normal
318,Obstacle,A,C,0,Augmented
123,Obstacle,A,A,1,Normal
323,Obstacle,A,A,1,Augmented
128,Obstacle,A,B,0,Normal
328,Obstacle,A,B,0,Augmented
133,Obstacle,A,A,1,Normal
333,Obstacle,A,A,1,Augmented
138,Obstacle,A,A,1,Normal
338,Obstacle,A,A,1,Augmented
143,Obstacle,A,A,1,Normal
343,Obstacle,A,A,1,Augmented
148,Obstacle,A,A,1,Normal
348,Obstacle,A,A,1,Augmented
153,Obstacle,A,A,1,Normal
353,Obstacle,A,A,1,Augmented
158,Obstacle,A,C,0,Normal
358,Obstacle,A,C,0,Augmented
