Question_ID,Type,Predicted,Correct,Match,Mode
023,Relative-Position,A,A,1,Normal
223,Relative-Position,A,A,1,Augmented
027,Relative-Position,A,A,1,Normal
227,Relative-Position,A,A,1,Augmented
032,Relative-Position,A,A,1,Normal
232,Relative-Position,A,A,1,Augmented
037,Relative-Position,A,B,0,Normal
237,Relative-Position,A,B,0,Augmented
042,Relative-Position,A,C,0,Normal
242,Relative-Position,A,C,0,Augmented
047,Relative-Position,A,B,0,Normal
247,Relative-Position,A,B,0,Augmented
052,Relative-Position,A,A,1,Normal
252,Relative-Position,A,A,1,Augmented
057,Relative-Position,A,A,1,Normal
257,Relative-Position,A,A,1,Augmented
062,Relative-Position,A,A,1,Normal
262,Relative-Position,A,A,1,Augmented
067,Relative-Position,A,A,1,Normal
267,Relative-Position,A,A,1,Augmented
072,Relative-Position,A,C,0,Normal
272,Relative-Position,A,C,0,Augmented
077,Relative-Position,A,A,1,Normal
277,Relative-Position,A,A,1,Augmented
082,Relative-Position,A,A,1,Normal
282,Relative-Position,A,A,1,Augmented
087,Relative-Position,A,A,1,Normal
287,Relative-Position,A,A,1,Augmented
092,Relative-Position,A,A,1,Normal
292,Relative-Position,A,A,1,Augmented
097,Relative-Position,A,D,0,Normal
297,Relative-Position,A,D,0,Augmented
102,Relative-Position,A,B,0,Normal
302,Relative-Position,A,B,0,Augmented
107,Relative-Position,A,C,0,Normal
307,Relative-Position,A,C,0,Augmented
112,Relative-Position,A,A,1,Normal
312,Relative-Position,A,A,1,Augmented
117,Relative-Position,A,B,0,Normal
317,Relative-Position,A,B,0,Augmented
122,Relative-Position,A,A,1,Normal
322,Relative-Position,A,A,1,Augmented
127,Relative-Position,A,B,0,Normal
327,Relative-Position,A,B,0,Augmented
132,Relative-Position,A,A,1,Normal
332,Relative-Position,A,A,1,Augmented
137,Relative-Position,A,A,1,Normal
337,Relative-Position,A,A,1,Augmented
142,Relative-Position,A,C,0,Normal
342,Relative-Position,A,C,0,Augmented
147,Relative-Position,A,A,1,Normal
347,Relative-Position,A,A,1,Augmented
152,Relative-Position,A,A,1,Normal
352,Relative-Position,A,A,1,Augmented
157,Relative-Position,A,A,1,Normal
357,Relative-Position,A,A,1,Augmented
