Question_ID,Type,Predicted,Correct,Match,Mode
021,Obstacle,A,C,0,Normal
221,Obstacle,A,C,0,Augmented
022,Perspective,A,A,1,Normal
222,Perspective,A,A,1,Augmented
023,Relative-Position,A,A,1,Normal
223,Relative-Position,A,A,1,Augmented
024,Proximity,A,A,1,Normal
224,Proximity,A,A,1,Augmented
025,Navigation,A,D,0,Normal
225,Navigation,A,D,0,Augmented
026,Perspective,A,B,0,Normal
226,Perspective,A,B,0,Augmented
027,Relative-Position,A,A,1,Normal
227,Relative-Position,A,A,1,Augmented
028,Obstacle,A,B,0,Normal
228,Obstacle,A,B,0,Augmented
029,Navigation,A,A,1,Normal
229,Navigation,A,A,1,Augmented
030,Proximity,A,C,0,Normal
230,Proximity,A,C,0,Augmented
031,Perspective,A,B,0,Normal
231,Perspective,A,B,0,Augmented
032,Relative-Position,A,A,1,Normal
232,Relative-Position,A,A,1,Augmented
033,Obstacle,A,C,0,Normal
233,Obstacle,A,C,0,Augmented
034,Proximity,A,C,0,Normal
234,Proximity,A,C,0,Augmented
035,Navigation,A,D,0,Normal
235,Navigation,A,D,0,Augmented
036,Perspective,A,C,0,Normal
236,Perspective,A,C,0,Augmented
037,Relative-Position,A,B,0,Normal
237,Relative-Position,A,B,0,Augmented
038,Obstacle,A,C,0,Normal
238,Obstacle,A,C,0,Augmented
039,Navigation,A,A,1,Normal
239,Navigation,A,A,1,Augmented
040,Proximity,A,B,0,Normal
240,Proximity,A,B,0,Augmented
041,Perspective,A,B,0,Normal
241,Perspective,A,B,0,Augmented
042,Relative-Position,A,C,0,Normal
242,Relative-Position,A,C,0,Augmented
043,Obstacle,A,A,1,Normal
243,Obstacle,A,A,1,Augmented
044,Proximity,A,A,1,Normal
244,Proximity,A,A,1,Augmented
045,Navigation,A,B,0,Normal
245,Navigation,A,B,0,Augmented
046,Perspective,A,C,0,Normal
246,Perspective,A,C,0,Augmented
047,Relative-Position,A,B,0,Normal
247,Relative-Position,A,B,0,Augmented
048,Obstacle,A,B,0,Normal
248,Obstacle,A,B,0,Augmented
049,Navigation,A,B,0,Normal
249,Navigation,A,B,0,Augmented
050,Proximity,A,C,0,Normal
250,Proximity,A,C,0,Augmented
051,Perspective,A,B,0,Normal
251,Perspective,A,B,0,Augmented
052,Relative-Position,A,A,1,Normal
252,Relative-Position,A,A,1,Augmented
053,Obstacle,A,B,0,Normal
253,Obstacle,A,B,0,Augmented
054,Proximity,A,D,0,Normal
254,Proximity,A,D,0,Augmented
055,Navigation,A,C,0,Normal
255,Navigation,A,C,0,Augmented
056,Perspective,A,A,1,Normal
256,Perspective,A,A,1,Augmented
057,Relative-Position,A,A,1,Normal
257,Relative-Position,A,A,1,Augmented
058,Obstacle,A,B,0,Normal
258,Obstacle,A,B,0,Augmented
059,Proximity,A,B,0,Normal
259,Proximity,A,B,0,Augmented
060,Navigation,A,B,0,Normal
260,Navigation,A,B,0,Augmented
061,Perspective,A,C,0,Normal
261,Perspective,A,C,0,Augmented
062,Relative-Position,A,A,1,Normal
262,Relative-Position,A,A,1,Augmented
063,Obstacle,A,B,0,Normal
263,Obstacle,A,B,0,Augmented
064,Navigation,A,B,0,Normal
264,Navigation,A,B,0,Augmented
065,Proximity,A,A,1,Normal
265,Proximity,A,A,1,Augmented
066,Perspective,A,C,0,Normal
266,Perspective,A,C,0,Augmented
067,Relative-Position,A,A,1,Normal
267,Relative-Position,A,A,1,Augmented
068,Obstacle,A,B,0,Normal
268,Obstacle,A,B,0,Augmented
069,Navigation,A,B,0,Normal
269,Navigation,A,B,0,Augmented
070,Proximity,A,D,0,Normal
270,Proximity,A,D,0,Augmented
071,Perspective,A,B,0,Normal
271,Perspective,A,B,0,Augmented
072,Relative-Position,A,C,0,Normal
272,Relative-Position,A,C,0,Augmented
073,Obstacle,A,D,0,Normal
273,Obstacle,A,D,0,Augmented
074,Navigation,A,B,0,Normal
274,Navigation,A,B,0,Augmented
075,Proximity,A,B,0,Normal
275,Proximity,A,B,0,Augmented
076,Perspective,A,B,0,Normal
276,Perspective,A,B,0,Augmented
077,Relative-Position,A,A,1,Normal
277,Relative-Position,A,A,1,Augmented
078,Obstacle,A,B,0,Normal
278,Obstacle,A,B,0,Augmented
079,Navigation,A,A,1,Normal
279,Navigation,A,A,1,Augmented
080,Proximity,A,A,1,Normal
280,Proximity,A,A,1,Augmented
081,Perspective,A,A,1,Normal
281,Perspective,A,A,1,Augmented
082,Relative-Position,A,A,1,Normal
282,Relative-Position,A,A,1,Augmented
083,Obstacle,A,B,0,Normal
283,Obstacle,A,B,0,Augmented
084,Navigation,A,B,0,Normal
284,Navigation,A,B,0,Augmented
085,Proximity,A,C,0,Normal
285,Proximity,A,C,0,Augmented
086,Perspective,A,B,0,Normal
286,Perspective,A,B,0,Augmented
087,Relative-Position,A,A,1,Normal
287,Relative-Position,A,A,1,Augmented
088,Obstacle,A,B,0,Normal
288,Obstacle,A,B,0,Augmented
089,Navigation,A,B,0,Normal
289,Navigation,A,B,0,Augmented
090,Proximity,A,C,0,Normal
290,Proximity,A,C,0,Augmented
091,Perspective,A,B,0,Normal
291,Perspective,A,B,0,Augmented
092,Relative-Position,A,A,1,Normal
292,Relative-Position,A,A,1,Augmented
093,Obstacle,A,C,0,Normal
293,Obstacle,A,C,0,Augmented
094,Navigation,A,A,1,Normal
294,Navigation,A,A,1,Augmented
095,Proximity,A,A,1,Normal
295,Proximity,A,A,1,Augmented
096,Perspective,A,B,0,Normal
296,Perspective,A,B,0,Augmented
097,Relative-Position,A,D,0,Normal
297,Relative-Position,A,D,0,Augmented
098,Obstacle,A,A,1,Normal
298,Obstacle,A,A,1,Augmented
099,Navigation,A,A,1,Normal
299,Navigation,A,A,1,Augmented
100,Proximity,A,A,1,Normal
300,Proximity,A,A,1,Augmented
101,Perspective,A,A,1,Normal
301,Perspective,A,A,1,Augmented
102,Relative-Position,A,B,0,Normal
302,Relative-Position,A,B,0,Augmented
103,Obstacle,A,A,1,Normal
303,Obstacle,A,A,1,Augmented
104,Navigation,A,A,1,Normal
304,Navigation,A,A,1,Augmented
105,Proximity,A,B,0,Normal
305,Proximity,A,B,0,Augmented
106,Perspective,A,B,0,Normal
306,Perspective,A,B,0,Augmented
107,Relative-Position,A,C,0,Normal
307,Relative-Position,A,C,0,Augmented
108,Obstacle,A,A,1,Normal
308,Obstacle,A,A,1,Augmented
109,Navigation,A,B,0,Normal
309,Navigation,A,B,0,Augmented
110,Proximity,A,B,0,Normal
310,Proximity,A,B,0,Augmented
111,Perspective,A,A,1,Normal
311,Perspective,A,A,1,Augmented
112,Relative-Position,A,A,1,Normal
312,Relative-Position,A,A,1,Augmented
113,Obstacle,A,A,1,Normal
313,Obstacle,A,A,1,Augmented
114,Navigation,A,A,1,Normal
314,Navigation,A,A,1,Augmented
115,Proximity,A,C,0,Normal
315,Proximity,A,C,0,Augmented
116,Perspective,A,B,0,Normal
316,Perspective,A,B,0,Augmented
117,Relative-Position,A,B,0,Normal
317,Relative-Position,A,B,0,Augmented
118,Obstacle,A,C,0,Normal
318,Obstacle,A,C,0,Augmented
119,Navigation,A,A,1,Normal
319,Navigation,A,A,1,Augmented
120,Proximity,A,A,1,Normal
320,Proximity,A,A,1,Augmented
121,Perspective,A,A,1,Normal
321,Perspective,A,A,1,Augmented
122,Relative-Position,A,A,1,Normal
322,Relative-Position,A,A,1,Augmented
123,Obstacle,A,A,1,Normal
323,Obstacle,A,A,1,Augmented
124,Navigation,A,A,1,Normal
324,Navigation,A,A,1,Augmented
125,Proximity,A,B,0,Normal
325,Proximity,A,B,0,Augmented
126,Perspective,A,A,1,Normal
326,Perspective,A,A,1,Augmented
127,Relative-Position,A,B,0,Normal
327,Relative-Position,A,B,0,Augmented
128,Obstacle,A,B,0,Normal
328,Obstacle,A,B,0,Augmented
129,Navigation,A,B,0,Normal
329,Navigation,A,B,0,Augmented
130,Proximity,A,A,1,Normal
330,Proximity,A,A,1,Augmented
131,Perspective,A,B,0,Normal
331,Perspective,A,B,0,Augmented
132,Relative-Position,A,A,1,Normal
332,Relative-Position,A,A,1,Augmented
133,Obstacle,A,A,1,Normal
333,Obstacle,A,A,1,Augmented
134,Navigation,A,A,1,Normal
334,Navigation,A,A,1,Augmented
135,Proximity,A,A,1,Normal
335,Proximity,A,A,1,Augmented
136,Perspective,A,B,0,Normal
336,Perspective,A,B,0,Augmented
137,Relative-Position,A,A,1,Normal
337,Relative-Position,A,A,1,Augmented
138,Obstacle,A,A,1,Normal
338,Obstacle,A,A,1,Augmented
139,Navigation,A,A,1,Normal
339,Navigation,A,A,1,Augmented
140,Proximity,A,B,0,Normal
340,Proximity,A,B,0,Augmented
141,Perspective,A,A,1,Normal
341,Perspective,A,A,1,Augmented
142,Relative-Position,A,C,0,Normal
342,Relative-Position,A,C,0,Augmented
143,Obstacle,A,A,1,Normal
343,Obstacle,A,A,1,Augmented
144,Navigation,A,A,1,Normal
344,Navigation,A,A,1,Augmented
145,Proximity,A,A,1,Normal
345,Proximity,A,A,1,Augmented
146,Perspective,A,A,1,Normal
346,Perspective,A,A,1,Augmented
147,Relative-Position,A,A,1,Normal
347,Relative-Position,A,A,1,Augmented
148,Obstacle,A,A,1,Normal
348,Obstacle,A,A,1,Augmented
149,Navigation,A,A,1,Normal
349,Navigation,A,A,1,Augmented
150,Proximity,A,A,1,Normal
350,Proximity,A,A,1,Augmented
151,Perspective,A,A,1,Normal
351,Perspective,A,A,1,Augmented
152,Relative-Position,A,A,1,Normal
352,Relative-Position,A,A,1,Augmented
153,Obstacle,A,A,1,Normal
353,Obstacle,A,A,1,Augmented
154,Navigation,A,B,0,Normal
354,Navigation,A,B,0,Augmented
155,Proximity,A,A,1,Normal
355,Proximity,A,A,1,Augmented
156,Perspective,A,A,1,Normal
356,Perspective,A,A,1,Augmented
157,Relative-Position,A,A,1,Normal
357,Relative-Position,A,A,1,Augmented
158,Obstacle,A,C,0,Normal
358,Obstacle,A,C,0,Augmented
159,Navigation,A,A,1,Normal
359,Navigation,A,A,1,Augmented
160,Proximity,A,A,1,Normal
360,Proximity,A,A,1,Augmented
